Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.05885,-0.077804,0.010573,0,0,0,0.55964,0.00048296,-9.3616E-09,-1.6308E-05,0.00029518,-2.0154E-08,0.00049698,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/base_link.STL,,base_link^biped_bike_robot_print-1,world_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_hip_yaw,-0.01464,6.7704E-10,-0.011437,0,0,0,0.027149,4.5686E-06,1.4823E-12,-2.7955E-07,3.6622E-05,1.2928E-14,3.6341E-05,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/l_hip_yaw.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/l_hip_yaw.STL,,L_hip_yaw^biped_bike_robot_print-1,l_hip_yaw_frame,l_hip_yaw_axis,l_hip_yaw,revolute,-0.01525,-0.01425,0.0026,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
l_hip_roll,-0.012165,-0.0001899,0.046383,0,0,0,0.11682,1.9996E-05,-2.5141E-07,2.5107E-07,2.6336E-05,-1.0511E-08,3.2757E-05,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/l_hip_roll.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/l_hip_roll.STL,,L_hip_roll^biped_bike_robot_print-1,l_hip_roll_frame,l_hip_roll_axis,l_hip_roll,revolute,-0.0614,0,-0.0356,0,-1.5708,0,l_hip_yaw,0,0,-1,0,0,0,0,,,,,,,,
l_hip_pitch,-1.6653E-16,0.0295,-0.0209,0,0,0,0.014036,9.6249E-06,-9.1494E-21,9.666E-22,7.4429E-06,-5.5464E-21,3.251E-06,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/l_hip_pitch.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/l_hip_pitch.STL,,L_hip_pitch^biped_bike_robot_print-1,l_hip_pitch_frame,l_hip_pitch_axis,l_hip_pitch,revolute,-0.024,-0.0209,0.0614,1.5708,-1.5708,0,l_hip_roll,0,0,1,0,0,0,0,,,,,,,,
l_knee_pitch,0.02016,0.019153,-0.02059,0,0,0,0.14522,5.378E-05,2.2032E-06,5.7466E-13,3.8097E-05,1.6212E-12,3.6576E-05,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/l_knee_pitch.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/l_knee_pitch.STL,,L_knee_pitch^biped_bike_robot_print-1,l_knee_pitch_frame,l_knee_pitch_axis,l_knee_pitch,revolute,0,0.059,0,0,0,0,l_hip_pitch,0,0,-1,0,0,0,0,,,,,,,,
l_ankle_pitch,-0.015025,0.011594,-0.020712,0,0,0,0.11682,3.2757E-05,-2.5109E-07,-2.0537E-11,1.9997E-05,2.6018E-07,2.6335E-05,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/l_ankle_pitch.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/l_ankle_pitch.STL,,L_ankle_pitch^biped_bike_robot_print-1,l_ankle_pitch_frame,l_ankle_pitch_axis,l_ankle_pitch,revolute,0,0.08775,0,0,0,0,l_knee_pitch,0,0,-1,0,0,0,0,,,,,,,,
l_foot_roll,-0.050981,3.8164E-16,0.060731,0,0,0,0.074674,0.00015031,-1.5486E-19,6.277E-06,0.00014139,1.2177E-19,3.6523E-05,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/l_foot_roll.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/l_foot_roll.STL,,l_foot_roll^biped_bike_robot_print-1,l_foot_roll_frame,l_foot_roll_axis,l_foot_roll,revolute,-0.0614,0,-0.0209,-1.5708,0,-1.5708,l_ankle_pitch,0,0,-1,0,0,0,0,,,,,,,,
l_knee_pitch_wheel,9.0924E-13,-3.7229E-13,0.0055204,0,0,0,0.012433,3.5443E-06,3.7636E-12,-1.6E-17,3.5443E-06,6.6078E-18,6.6204E-06,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/l_knee_pitch_wheel.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/l_knee_pitch_wheel.STL,,L_knee_wheel^biped_bike_robot_print-1,l_knee_pitch_wheel_frame,l_knee_pitch_wheel_axis,l_knee_pitch_wheel,continuous,0.047,0.024,0,0,0,0,l_knee_pitch,0,0,-1,,,,,,,,,,,,
r_hip_yaw,-0.01464,6.7704E-10,-0.011437,0,0,0,0.027149,4.5686E-06,1.4823E-12,-2.7955E-07,3.6622E-05,1.2928E-14,3.6341E-05,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/r_hip_yaw.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/r_hip_yaw.STL,,R_hip_yaw^biped_bike_robot_print-1,r_hip_yaw_frame,r_hip_yaw_axis,r_hip_yaw,revolute,-0.01525,-0.13925,0.0026,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
r_hip_roll,-0.012165,-0.0001899,0.046383,0,0,0,0.11682,1.9996E-05,-2.5141E-07,2.5107E-07,2.6336E-05,-1.0511E-08,3.2757E-05,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/r_hip_roll.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/r_hip_roll.STL,,R_hip_roll^biped_bike_robot_print-1,r_hip_roll_frame,r_hip_roll_axis,r_hip_roll,revolute,-0.0614,0,-0.0356,0,-1.5708,0,r_hip_yaw,0,0,-1,0,0,0,0,,,,,,,,
r_hip_pitch,-1.3878E-17,0.0295,-0.0209,0,0,0,0.014036,9.6249E-06,-9.441E-21,-3.1332E-22,7.4429E-06,-6.8903E-21,3.251E-06,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/r_hip_pitch.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/r_hip_pitch.STL,,R_hip_pitch^biped_bike_robot_print-1,r_hip_pitch_frame,r_hip_pitch_axis,r_hip_pitch,revolute,-0.024,-0.0209,0.0614,1.5708,-1.5708,0,r_hip_roll,0,0,-1,0,0,0,0,,,,,,,,
r_knee_pitch,0.02016,0.019153,-0.02059,0,0,0,0.14522,5.378E-05,2.2032E-06,5.7466E-13,3.8097E-05,1.6212E-12,3.6576E-05,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/r_knee_pitch.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver4/meshes/r_knee_pitch.STL,,R_knee_pitch^biped_bike_robot_print-1,r_knee_pitch_frame,r_knee_pitch_axis,r_knee_pitch,revolute,0,0.059,0,0,0,0,r_hip_pitch,0,0,-1,0,0,0,0,,,,,,,,
