Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
r_knee_pitch,0.020267,0.018916,-0.020589,0,0,0,0.14474,5.3362E-05,2.1297E-06,5.4324E-13,3.7532E-05,1.6648E-12,3.6388E-05,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/r_knee_pitch.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/r_knee_pitch.STL,,R_knee_pitch^biped_bike_robot_print-1,r_knee_pitch_frame,r_knee_pitch_axis,r_knee_pitch,revolute,0,0.059,0,0,0,0,r_hip_pitch,0,0,-1,0,0,0,0,,,,,,,,
r_ankle_pitch,-0.014991,0.011589,-0.020713,0,0,0,0.11708,3.2945E-05,-2.5109E-07,-2.0537E-11,2.0097E-05,2.6018E-07,2.6451E-05,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/r_ankle_pitch.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/r_ankle_pitch.STL,,R_ankle_pitch^biped_bike_robot_print-1,r_ankle_pitch_frame,r_ankle_pitch_axis,r_ankle_pitch,revolute,0,0.08775,0,0,0,0,r_knee_pitch,0,0,-1,0,0,0,0,,,,,,,,
r_foot_roll,-0.051554,1.9429E-16,0.061016,0,0,0,0.073461,0.00014716,3.5112E-20,5.6269E-06,0.00013683,-3.3103E-19,3.4695E-05,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/r_foot_roll.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/r_foot_roll.STL,,R_foot_roll^biped_bike_robot_print-1,r_foot_roll_frame,r_foot_roll_axis,r_foot_roll,revolute,-0.0614,0,-0.0209,-1.5708,0,-1.5708,r_ankle_pitch,0,0,-1,0,0,0,0,,,,,,,,
r_knee_pitch_wheel,-4.2069E-13,8.8791E-13,-0.04642,0,0,0,0.012433,3.5443E-06,3.6164E-12,-7.4582E-18,3.5443E-06,1.5622E-17,6.6204E-06,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/r_knee_pitch_wheel.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/r_knee_pitch_wheel.STL,,R_knee_wheel^biped_bike_robot_print-1,r_knee_pitch_wheel_frame,r_knee_pitch_wheel_axis,r_knee_pitch_wheel,continuous,0.047,0.024,0,0,0,0,r_knee_pitch,0,0,1,,,,,,,,,,,,
arm_base_yaw,-0.00017614,0.00042799,0.026853,0,0,0,0.052551,1.204E-05,-5.2331E-09,-4.4078E-09,1.1587E-05,-2.555E-07,8.5755E-06,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/arm_base_yaw.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/arm_base_yaw.STL,,arm_base_yaw^biped_bike_robot_print-1,arm_base_yaw_frame,arm_base_yaw_axis,arm_base_yaw,revolute,-0.01505,-0.07695,0.0444,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
arm_shoulder_pitch,-0.09923,-0.013917,-0.020759,0,0,0,0.091736,2.3237E-05,7.1574E-07,-4.7034E-09,8.3428E-05,2.551E-07,7.7953E-05,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/arm_shoulder_pitch.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/arm_shoulder_pitch.STL,,arm_shoulder_pitch_link^biped_bike_robot_print-1,arm_shoulder_pitch_frame,arm_shoulder_pitch_axis,arm_shoulder_pitch,revolute,-0.0002,0.0209,0.04235,-1.5708,0,0,arm_base_yaw,0,0,1,0,0,0,0,,,,,,,,
arm_elbow_pitch,0.096914,0.0001791,-0.021106,0,0,0,0.046725,7.8825E-06,3.4589E-08,2.6621E-09,6.1121E-05,8.2708E-11,5.6294E-05,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/arm_elbow_pitch.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/arm_elbow_pitch.STL,,arm_elbow_pitch^biped_bike_robot_print-1,arm_elbow_pitch_frame,arm_elbow_pitch_axis,arm_elbow_pitch,revolute,-0.11295,-0.0415,0,0,0,0,arm_shoulder_pitch,0,0,1,0,0,0,0,,,,,,,,
arm_wrist_pitch,0.025146,-0.0066442,-0.014696,0,0,0,0.019754,2.8794E-06,6.5753E-08,-8.4019E-11,1.6045E-06,-1.3786E-09,2.1038E-06,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/arm_wrist_pitch.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/arm_wrist_pitch.STL,,arm_wrist_pitch^biped_bike_robot_print-1,arm_wrist_pitch_frame,arm_wrist_pitch_axis,arm_wrist_pitch,revolute,0.1618,0,-0.0064,0,0,0,arm_elbow_pitch,0,0,-1,0,0,0,0,,,,,,,,
arm_wrist_roll,0.00038229,0.00064386,0.022797,0,0,0,0.039491,9.0859E-06,1.4892E-08,-4.9165E-08,1.0941E-05,-4.269E-08,6.6106E-06,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/arm_wrist_roll.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/arm_wrist_roll.STL,,arm_wrist_roll^biped_bike_robot_print-1,arm_wrist_roll_frame,arm_wrist_roll_axis,arm_wrist_roll,revolute,0.0432,-0.015,-0.0147,-1.5708,0,-1.5708,arm_wrist_pitch,0,0,-1,0,0,0,0,,,,,,,,
arm_wheel_pitch_,5.8542E-13,-7.8926E-13,0.0035204,0,0,0,0.012433,3.5443E-06,7.0949E-13,-1.027E-17,3.5443E-06,1.3933E-17,6.6204E-06,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/arm_wheel_pitch_.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/arm_wheel_pitch_.STL,,arm_wheel^biped_bike_robot_print-1,arm_pitch_wheel_frame,arm_pitch_wheel_axis,arm_wheel_pitch_,continuous,-0.1835,0,-0.02585,0,0,0,arm_shoulder_pitch,0,0,-1,,,,,,,,,,,,
